"车牌号","出租车公司","车型","设备编号","运营开始时间","运营结束时间","方向","GPS经度","GPS纬度","速度","GPS时间","运营状态"
"鲁HT**21","联运","新捷达","64625127898","2004-01-13 00:00:00.0","2020-07-12 00:00:00.0","8","116.581673","35.43567","0.0","2022-06-01 00:00:01.0","空车"
"鲁HT**33","富达","新悦动","64625128982","2004-04-28 00:00:00.0","2021-04-27 00:00:00.0","179","116.623345","35.41287","15.4","2022-06-01 00:00:01.0","空车"
"鲁HT**32","华通","新桑塔纳","64625128358","2004-05-01 00:00:00.0","2020-11-01 00:00:00.0","269","116.601446","35.430686","41.5","2022-06-01 00:00:02.0","空车"
"鲁HT**95","交运","悦动","64626877214","2004-04-05 00:00:00.0","2021-10-04 00:00:00.0","153","116.55823","35.378628","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**38","交运","新桑塔纳","64625127891","2016-03-23 00:00:00.0","2022-03-22 00:00:00.0","353","116.591083","35.417548","44.0","2022-06-01 00:00:02.0","空车"
"鲁HT**79","交运","老捷达","64625127886","2003-12-01 00:00:00.0","2020-06-01 00:00:00.0","63","116.56384","35.376858","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**95","众鑫","新捷达","64625128605","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","24","116.605531","35.468486","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**29","富达","新桑塔纳","64625127894","2004-01-05 00:00:00.0","2020-07-04 00:00:00.0","111","116.641676","35.427868","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**99","新交运","新捷达","64625128897","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","358","116.591665","35.408785","22.9","2022-06-01 00:00:02.0","载客"
"鲁HT**02","北城","新捷达","64625129215","2016-08-25 00:00:00.0","1900-01-01 00:00:00.0","206","116.578521","35.400591","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**25","交运","新捷达","64625127953","2016-06-13 00:00:00.0","2022-06-12 00:00:00.0","175","116.60025","35.40949","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**29","华通","新捷达","64625128565","2004-05-13 00:00:00.0","2020-11-12 00:00:00.0","84","116.602831","35.407916","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**58","北城","新桑塔纳","64625129308","2004-05-09 00:00:00.0","2020-11-08 00:00:00.0","338","116.38644","35.62267","0.0","2022-06-01 00:00:02.0","空车"
"鲁HT**58","北城","新捷达","64625128760","2004-04-01 00:00:00.0","2020-10-01 00:00:00.0","12","116.510148","35.407795","0.0","2022-06-01 00:00:02.0","空车"
"HDN**79","众鑫","比亚迪秦","64625128076","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","77","116.594995","35.4493","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**11","新交运","新桑塔纳","64625128923","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","166","116.500638","35.46786","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**16","交运","新桑塔纳","64625128100","2005-06-01 00:00:00.0","2021-06-01 00:00:00.0","280","116.57486","35.385668","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**78","交运","新捷达","64625127805","2015-04-21 00:00:00.0","1900-01-01 00:00:00.0","178","116.58493","35.39799","16.1","2022-06-01 00:00:03.0","载客"
"HDN**53","新交运","比亚迪秦","64625128843","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","87","116.59839","35.410751","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**60","北城","新悦动","64625128919","2016-09-02 00:00:00.0","1900-01-01 00:00:00.0","155","116.597461","35.42479","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**37","交运","悦动","64625128730","2016-10-28 00:00:00.0","2016-10-28 00:00:00.0","349","116.60744","35.523496","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**18","北城","悦动","64625128771","2004-01-01 00:00:00.0","2021-01-01 00:00:00.0","181","116.565225","35.395905","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**51","新交运","新捷达","64625128881","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","3","116.597578","35.379496","0.0","2022-06-01 00:00:03.0","空车"
"鲁HT**49","联运","新捷达","00013957036","2016-09-07 00:00:00.0","1900-01-01 00:00:00.0","178","116.6025","35.428798","39.6","2022-06-01 00:00:03.0","空车"
"鲁HT**68","交运","伊兰特","64625127866","2001-01-09 00:00:00.0","2019-12-29 00:00:00.0","348","116.598773","35.38314","0.0","2022-06-01 00:00:04.0","空车"
"鲁HT**71","联运","新捷达","64625128241","2016-03-25 00:00:00.0","2022-03-24 00:00:00.0","83","116.610826","35.43582","0.0","2022-06-01 00:00:04.0","空车"
"鲁HT**75","新交运","新捷达","64625129161","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","90","116.549566","35.420321","0.0","2022-06-01 00:00:04.0","空车"
"鲁HT**83","新交运","新捷达","00029780612","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","78","116.576296","35.45743","0.0","2022-06-01 00:00:04.0","空车"
"鲁HT**31","联运","新捷达","64625129093","2004-05-24 00:00:00.0","2021-05-23 00:00:00.0","215","116.611653","35.413793","0.0","2022-06-01 00:00:04.0","空车"
"HDD**68","富达","吉利帝豪","64625127912","2016-08-08 00:00:00.0","2016-11-05 00:00:00.0","310","116.613798","35.396093","58.5","2022-06-01 00:00:04.0","载客"
"鲁HT**58","联运","新悦动","64625128175","2004-02-27 00:00:00.0","2020-08-26 00:00:00.0","84","116.684898","35.407421","0.0","2022-06-01 00:00:04.0","空车"
"鲁HT**89","联运","新桑塔纳","64625128540","2004-01-01 00:00:00.0","2020-07-01 00:00:00.0","277","116.533788","35.416666","59.3","2022-06-01 00:00:04.0","载客"
"鲁HT**90","北城","新桑塔纳","64625129149","2004-04-16 00:00:00.0","2020-10-15 00:00:00.0","48","116.56667","35.38333","0.0","2022-06-01 00:00:05.0","空车"
"鲁HT**63","联运","新捷达","64606915724","2004-04-01 00:00:00.0","2020-10-01 00:00:00.0","127","116.565791","35.386096","0.0","2022-06-01 00:00:05.0","空车"
"鲁HT**17","北城","新捷达","64625128653","2001-01-27 00:00:00.0","2020-01-26 00:00:00.0","263","116.6142","35.416555","0.0","2022-06-01 00:00:05.0","空车"
"鲁HT**66","华中","老捷达","64625129236","2004-04-26 00:00:00.0","2020-08-25 00:00:00.0","45","116.5904","35.391475","15.5","2022-06-01 00:00:05.0","空车"
"鲁HT**99","联运","悦动","64625128449","2003-05-26 00:00:00.0","2019-11-25 00:00:00.0","125","116.568331","35.405733","0.2","2022-06-01 00:00:05.0","载客"
"鲁HT**33","联运","悦动","64625128407","2004-06-02 00:00:00.0","2020-06-01 00:00:00.0","358","116.566058","35.348055","0.0","2022-06-01 00:00:05.0","空车"
"鲁HT**97","新交运","新桑塔纳","64625128863","2016-11-19 00:00:00.0","2016-11-19 00:00:00.0","109","116.587936","35.39228","0.0","2022-06-01 00:00:05.0","载客"
"鲁HT**66","华中","悦动","64625129190","2004-06-11 00:00:00.0","2020-12-10 00:00:00.0","10","116.587046","35.39968","0.0","2022-06-01 00:00:05.0","空车"
"鲁HT**89","华通","新桑塔纳","64625128665","2016-01-26 00:00:00.0","2022-01-25 00:00:00.0","271","116.603248","35.411603","0.0","2022-06-01 00:00:05.0","空车"
"HDW**16","众鑫","比亚迪秦","64625128089","2016-11-14 00:00:00.0","2016-11-14 00:00:00.0","103","116.588393","35.365108","58.6","2022-06-01 00:00:06.0","空车"
"鲁HT**15","华通","新桑塔纳","64625128001","2004-03-01 00:00:00.0","2020-09-01 00:00:00.0","216","116.529226","35.414313","49.6","2022-06-01 00:00:06.0","空车"
"鲁HT**99","华通","新悦动","64625128078","2003-06-19 00:00:00.0","2020-12-18 00:00:00.0","270","116.57107","35.405756","32.6","2022-06-01 00:00:06.0","空车"
"鲁HT**69","华通","新桑塔纳","64625128443","2016-11-06 00:00:00.0","2016-11-06 00:00:00.0","360","116.56892","35.433638","39.7","2022-06-01 00:00:06.0","载客"
"鲁HT**00","交运","新捷达","64625127796","2016-08-01 00:00:00.0","2016-10-21 00:00:00.0","122","116.578551","35.429426","0.0","2022-06-01 00:00:06.0","空车"
"鲁HT**25","富达","新捷达","64625128743","2016-05-23 00:00:00.0","2022-05-22 00:00:00.0","256","116.562836","35.38493","0.0","2022-06-01 00:00:06.0","空车"
"鲁HT**39","富达","伊兰特","64625128242","2016-08-04 00:00:00.0","1900-01-01 00:00:00.0","107","116.577088","35.397828","0.0","2022-06-01 00:00:06.0","空车"
"鲁HT**82","新交运","新捷达","64625128038","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","89","116.611888","35.420916","52.3","2022-06-01 00:00:06.0","载客"
"HDS**16","新交运","比亚迪秦","64625128964","2016-11-23 00:00:00.0","2016-11-23 00:00:00.0","169","116.582633","35.437655","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**34","华通","新桑塔纳","64625128300","2004-03-01 00:00:00.0","2020-09-01 00:00:00.0","84","116.562903","35.418873","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**83","联运","新捷达","64625128545","2016-09-08 00:00:00.0","2016-10-31 00:00:00.0","187","116.57751","35.439505","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**67","联运","新捷达","64625129085","2004-05-21 00:00:00.0","2021-05-20 00:00:00.0","134","116.546266","35.441528","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**80","汇通","新捷达","64625128139","2016-06-16 00:00:00.0","2022-06-15 00:00:00.0","90","116.508808","35.403273","60.0","2022-06-01 00:00:07.0","载客"
"鲁HT**58","新交运","新捷达","64625129158","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","151","116.652013","35.424361","0.0","2022-06-01 00:00:07.0","载客"
"鲁HT**68","华中","伊兰特","64625129254","2016-07-27 00:00:00.0","1900-01-01 00:00:00.0","209","116.489335","35.371165","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**87","交运","新捷达","64625127838","2003-05-30 00:00:00.0","2020-05-30 00:00:00.0","86","116.563985","35.386935","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**37","交运","新捷达","64625128496","2016-06-13 00:00:00.0","2022-06-12 00:00:00.0","180","116.596665","35.458001","0.0","2022-06-01 00:00:07.0","空车"
"鲁HT**11","北城","老捷达","64625128761","2004-05-12 00:00:00.0","2020-11-11 00:00:00.0","256","116.605283","35.415926","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**35","交运","新捷达","64625128138","2004-01-01 00:00:00.0","2021-01-01 00:00:00.0","325","116.563033","35.384033","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**90","北城","新捷达","64625129127","2004-05-21 00:00:00.0","2020-11-20 00:00:00.0","43","116.548815","35.441661","0.0","2022-06-01 00:00:08.0","空车"
"HDQ**36","众鑫","东风风神","64625128824","2016-11-15 00:00:00.0","2016-11-15 00:00:00.0","26","116.536941","35.463535","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**71","华通","新捷达","64625128596","2004-01-05 00:00:00.0","2021-01-04 00:00:00.0","106","116.568283","35.415386","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**95","富达","新捷达","64625127900","2016-06-16 00:00:00.0","2022-06-15 00:00:00.0","320","116.56201","35.43459","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**83","联运","伊兰特","64625128210","2016-04-05 00:00:00.0","2022-04-04 00:00:00.0","82","116.597796","35.37594","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**98","众鑫","新捷达","64625128740","2016-11-14 00:00:00.0","2016-11-14 00:00:00.0","79","116.600675","35.410446","0.0","2022-06-01 00:00:08.0","空车"
"鲁HT**87","汇通","新桑塔纳","64626198298","2016-09-06 00:00:00.0","1900-01-01 00:00:00.0","8","116.610493","35.39805","53.9","2022-06-01 00:00:08.0","空车"
"鲁HT**59","汇通","伊兰特","64626877213","2004-06-01 00:00:00.0","2020-12-01 00:00:00.0","277","116.560583","35.400988","0.0","2022-06-01 00:00:09.0","空车"
"鲁HT**36","新交运","新桑塔纳","00056961601","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","294","116.596941","35.437675","0.0","2022-06-01 00:00:09.0","空车"
"鲁HT**37","华通","新捷达","64625128286","2016-06-17 00:00:00.0","2022-06-16 00:00:00.0","107","116.567808","35.38246","0.0","2022-06-01 00:00:09.0","空车"
"鲁HT**49","联运","悦动","64625128162","2004-01-12 00:00:00.0","2020-08-11 00:00:00.0","271","116.567106","35.405776","49.9","2022-06-01 00:00:09.0","载客"
"鲁HT**56","新交运","新捷达","64626198294","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","322","116.45445","35.481051","90.0","2022-06-01 00:00:09.0","载客"
"鲁HT**09","北城","新桑塔纳","64625129176","2004-04-11 00:00:00.0","2020-10-01 00:00:00.0","48","116.612231","35.404813","0.0","2022-06-01 00:00:09.0","载客"
"鲁HT**78","汇通","新捷达","64625128584","2004-03-02 00:00:00.0","2020-09-01 00:00:00.0","241","116.588215","35.394958","0.0","2022-06-01 00:00:09.0","空车"
"鲁HT**17","华通","新捷达","64625128478","2016-09-08 00:00:00.0","1900-01-01 00:00:00.0","12","116.559851","35.416021","0.0","2022-06-01 00:00:09.0","空车"
"HDN**58","联运","比亚迪秦","64625128687","2015-11-13 00:00:00.0","2021-11-12 00:00:00.0","181","116.568941","35.41955","38.3","2022-06-01 00:00:10.0","空车"
"鲁HT**99","联运","新捷达","64625127914","2004-07-05 00:00:00.0","2021-07-04 00:00:00.0","306","116.58757","35.39774","16.9","2022-06-01 00:00:10.0","载客"
"鲁HT**39","联运","新捷达","64625128422","2016-10-25 00:00:00.0","1900-01-01 00:00:00.0","107","116.56046","35.400388","0.0","2022-06-01 00:00:10.0","空车"
"鲁HT**03","联运","伊兰特","64657793020","2004-01-01 00:00:00.0","2020-07-01 00:00:00.0","267","116.50879","35.412696","0.0","2022-06-01 00:00:10.0","空车"
"鲁HT**36","新交运","新桑塔纳","64625128993","2016-11-23 00:00:00.0","2016-11-23 00:00:00.0","82","116.565868","35.415678","0.0","2022-06-01 00:00:10.0","空车"
"HDD**31","新交运","比亚迪秦","64625129032","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","181","116.559741","35.41823","36.9","2022-06-01 00:00:10.0","空车"
"鲁HT**56","联运","老捷达","64625128911","2003-10-01 00:00:00.0","2020-04-01 00:00:00.0","99","116.573298","35.435663","0.0","2022-06-01 00:00:10.0","空车"
"鲁HT**35","汇通","新捷达","64625128720","2004-04-27 00:00:00.0","2020-04-26 00:00:00.0","42","116.556585","35.500533","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**20","新交运","新捷达","64625128960","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","358","116.545458","35.418493","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**83","交运","奇瑞","64625128028","2015-08-14 00:00:00.0","2021-08-13 00:00:00.0","266","116.57604","35.40584","0.0","2022-06-01 00:00:11.0","载客"
"鲁HT**60","交运","伊兰特","64625128646","2016-12-23 00:00:00.0","2016-12-23 00:00:00.0","166","116.575956","35.404778","41.9","2022-06-01 00:00:11.0","载客"
"鲁HT**08","富达","新桑塔纳","64625127917","2016-03-10 00:00:00.0","2022-03-09 00:00:00.0","274","116.591968","35.442721","41.5","2022-06-01 00:00:11.0","载客"
"鲁HT**79","新交运","新捷达","64625129008","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","191","116.614905","35.386251","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**09","交运","新桑塔纳","64625127843","2016-10-23 00:00:00.0","2016-10-23 00:00:00.0","60","116.56688","35.382698","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**73","联运","伊兰特","64625128984","2004-05-01 00:00:00.0","2016-10-31 00:00:00.0","120","116.689216","35.43158","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**72","新交运","新捷达","64625129026","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","123","116.623305","35.397471","0.0","2022-06-01 00:00:11.0","空车"
"鲁HT**18","华通","悦动","64625129096","2004-03-02 00:00:00.0","2020-09-01 00:00:00.0","63","116.60249","35.427035","0.0","2022-06-01 00:00:12.0","空车"
"鲁HT**56","华通","新捷达","64625128284","2016-08-17 00:00:00.0","1900-01-01 00:00:00.0","45","116.564418","35.382416","0.0","2022-06-01 00:00:12.0","空车"
"鲁HT**18","交运","新捷达","64625127807","2004-05-10 00:00:00.0","2020-11-09 00:00:00.0","53","116.598808","35.450948","0.0","2022-06-01 00:00:12.0","空车"
"鲁HT**76","汇通","新捷达","64625128000","2016-08-03 00:00:00.0","1900-01-01 00:00:00.0","88","116.605538","35.408158","26.6","2022-06-01 00:00:12.0","载客"
"鲁HT**68","交运","伊兰特","64625127880","2004-09-09 00:00:00.0","2021-09-08 00:00:00.0","58","116.578346","35.42484","0.0","2022-06-01 00:00:12.0","空车"
"鲁HT**50","联运","伊兰特","64625128308","2016-05-16 00:00:00.0","2022-05-15 00:00:00.0","116","116.56998","35.43344","0.0","2022-06-01 00:00:12.0","载客"
"鲁HT**62","联运","悦动","64625128978","2004-01-06 00:00:00.0","2020-07-06 00:00:00.0","34","116.545741","35.422123","0.0","2022-06-01 00:00:12.0","空车"
"鲁HT**38","联运","伊兰特","64625128562","2016-07-26 00:00:00.0","1900-01-01 00:00:00.0","353","116.527836","35.259495","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**68","交运","新桑塔纳","64625128315","2016-03-21 00:00:00.0","2022-03-20 00:00:00.0","1","116.57602","35.41585","44.0","2022-06-01 00:00:13.0","空车"
"鲁HT**13","新交运","新桑塔纳","64625129016","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","9","116.511335","35.636618","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**25","交运","悦动","64625129125","2004-04-13 00:00:00.0","2020-10-12 00:00:00.0","344","116.545391","35.418473","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**76","富达","伊兰特","64625128638","2001-01-01 00:00:00.0","2019-01-01 00:00:00.0","32","116.569456","35.401948","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**49","交运","新捷达","64625127864","2004-06-14 00:00:00.0","2020-12-13 00:00:00.0","184","116.603971","35.469943","0.0","2022-06-01 00:00:13.0","空车"
"HDT**90","新交运","比亚迪秦","00029898976","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","269","116.585028","35.414825","53.2","2022-06-01 00:00:13.0","空车"
"鲁HT**70","交运","伊兰特","64625128225","2003-11-01 00:00:00.0","2020-05-01 00:00:00.0","33","116.604635","35.367968","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**69","富达","新捷达","64625129340","2004-02-26 00:00:00.0","2020-08-25 00:00:00.0","271","116.598748","35.430676","52.9","2022-06-01 00:00:13.0","载客"
"鲁HT**66","交运","新捷达","64625128055","2004-05-11 00:00:00.0","2021-05-10 00:00:00.0","25","116.59471","35.39363","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**30","华中","新桑塔纳","64625128006","2016-08-15 00:00:00.0","2016-11-15 00:00:00.0","87","116.631238","35.392413","0.0","2022-06-01 00:00:13.0","空车"
"鲁HT**00","联运","新捷达","64625128548","2004-10-01 00:00:00.0","2021-03-14 00:00:00.0","171","116.49722","35.622203","55.2","2022-06-01 00:00:13.0","空车"
"鲁HT**33","华中","新捷达","64625129187","2016-07-12 00:00:00.0","1900-01-01 00:00:00.0","142","116.591391","35.413655","0.0","2022-06-01 00:00:14.0","空车"
"鲁HT**56","新交运","新桑塔纳","64625128836","2016-11-23 00:00:00.0","2016-11-23 00:00:00.0","85","116.595155","35.410781","18.8","2022-06-01 00:00:14.0","空车"
"鲁HT**98","交运","新桑塔纳","64625127968","2016-10-26 00:00:00.0","2016-11-05 00:00:00.0","254","116.598335","35.382978","0.0","2022-06-01 00:00:14.0","空车"
"鲁HT**25","华中","新捷达","64625128637","2016-11-08 00:00:00.0","2016-11-08 00:00:00.0","95","116.605416","35.443206","0.0","2022-06-01 00:00:14.0","空车"
"鲁HT**06","北城","新捷达","64625129226","2004-05-12 00:00:00.0","2020-11-11 00:00:00.0","75","116.576821","35.441326","43.8","2022-06-01 00:00:14.0","空车"
"鲁HT**66","富达","悦动","64625128349","2016-09-21 00:00:00.0","1900-01-01 00:00:00.0","176","116.560986","35.421805","0.0","2022-06-01 00:00:14.0","空车"
"鲁HT**91","联运","奇瑞","64625128995","2015-04-23 00:00:00.0","1900-01-01 00:00:00.0","180","116.602515","35.415258","46.4","2022-06-01 00:00:14.0","载客"
"鲁HT**95","北城","新桑塔纳","64604284650","2016-06-07 00:00:00.0","2022-06-06 00:00:00.0","89","116.575868","35.429283","0.0","2022-06-01 00:00:14.0","空车"
"鲁HT**21","交运","新捷达","64625128695","2005-01-20 00:00:00.0","2022-01-19 00:00:00.0","10","116.616191","35.387363","46.1","2022-06-01 00:00:14.0","空车"
"鲁HT**39","新交运","新捷达","64625129031","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","7","116.576073","35.361985","66.7","2022-06-01 00:00:15.0","载客"
"鲁HT**06","华通","悦动","64625128464","2011-11-07 00:00:00.0","2017-08-07 00:00:00.0","2","116.518295","35.648713","0.0","2022-06-01 00:00:15.0","空车"
"HDE**91","新交运","比亚迪秦","64625129045","2016-11-23 00:00:00.0","2016-11-23 00:00:00.0","145","116.594865","35.393415","0.0","2022-06-01 00:00:15.0","空车"
"鲁HT**20","联运","伊兰特","64625129126","1900-01-01 00:00:00.0","1900-01-01 00:00:00.0","70","116.586286","35.3991","0.0","2022-06-01 00:00:15.0","空车"
"鲁HT**61","交运","新捷达","64625128077","2004-12-07 00:00:00.0","2021-12-06 00:00:00.0","87","116.614078","35.401533","0.0","2022-06-01 00:00:15.0","空车"
"鲁HT**25","汇通","新捷达","64625127973","2016-08-03 00:00:00.0","1900-01-01 00:00:00.0","151","116.580503","35.428553","0.0","2022-06-01 00:00:15.0","空车"
"鲁HT**61","联运","新捷达","64625128991","2015-12-29 00:00:00.0","2021-12-28 00:00:00.0","276","116.618453","35.406903","0.0","2022-06-01 00:00:15.0","载客"
"鲁HT**62","新交运","新桑塔纳","64625128215","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","131","116.594871","35.393531","0.0","2022-06-01 00:00:15.0","空车"
"鲁HT**16","交运","新桑塔纳","64625128208","2003-11-24 00:00:00.0","2020-05-23 00:00:00.0","89","116.433233","35.407563","48.0","2022-06-01 00:00:16.0","空车"
"鲁HT**56","汇通","新悦动","00056961600","2003-01-03 00:00:00.0","2022-06-30 00:00:00.0","151","116.563583","35.397061","0.0","2022-06-01 00:00:16.0","空车"
"鲁HT**66","新交运","奇瑞","64625128348","2016-01-07 00:00:00.0","2022-01-06 00:00:00.0","191","116.636678","35.424303","0.0","2022-06-01 00:00:16.0","空车"
"鲁HT**76","交运","新悦动","64625127982","2003-06-09 00:00:00.0","2020-12-08 00:00:00.0","209","116.577108","35.438276","0.0","2022-06-01 00:00:16.0","空车"
"鲁HT**63","新交运","新捷达","64625129315","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","360","116.57596","35.41652","50.7","2022-06-01 00:00:16.0","载客"
"鲁HT**11","北城","悦动","64625128765","2016-09-29 00:00:00.0","1900-01-01 00:00:00.0","273","116.59319","35.414721","36.7","2022-06-01 00:00:16.0","空车"
"鲁HT**29","联运","新捷达","64625128399","2003-04-25 00:00:00.0","2019-10-24 00:00:00.0","244","116.609071","35.415931","0.0","2022-06-01 00:00:16.0","空车"
"鲁HT**23","联运","新悦动","64625128161","2004-02-06 00:00:00.0","2021-02-05 00:00:00.0","207","116.565885","35.528093","0.0","2022-06-01 00:00:17.0","空车"
"鲁HT**37","交运","新捷达","64625127859","2016-07-29 00:00:00.0","1900-01-01 00:00:00.0","1","116.59704","35.415951","38.0","2022-06-01 00:00:17.0","载客"
"鲁HT**87","众鑫","新捷达","64625128752","2016-11-14 00:00:00.0","2016-11-14 00:00:00.0","28","116.609061","35.443006","0.0","2022-06-01 00:00:17.0","空车"
"鲁HT**00","交运","新捷达","64625128691","2004-03-01 00:00:00.0","2020-09-01 00:00:00.0","176","116.623635","35.458748","0.0","2022-06-01 00:00:17.0","空车"
"鲁HT**25","交运","伊兰特","64625128920","2016-08-05 00:00:00.0","1900-01-01 00:00:00.0","162","116.564865","35.44888","0.0","2022-06-01 00:00:17.0","空车"
"HDT**56","华通","比亚迪秦","64625129104","2016-09-23 00:00:00.0","1900-01-01 00:00:00.0","272","116.597526","35.430673","21.0","2022-06-01 00:00:17.0","空车"
"鲁HT**65","联运","新捷达","64625128092","2016-10-11 00:00:00.0","1900-01-01 00:00:00.0","43","116.583605","35.423628","0.0","2022-06-01 00:00:17.0","空车"
"鲁HT**80","汇通","新捷达","64625128806","2005-06-23 00:00:00.0","2021-12-22 00:00:00.0","1","116.636573","35.416918","31.4","2022-06-01 00:00:17.0","载客"
"HDY**56","众鑫","吉利帝豪","64625128928","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","179","116.575431","35.408616","0.0","2022-06-01 00:00:17.0","空车"
