"车牌号","所属公司","所属区域","设备","营运开始时间","营运结束时间","设备编号","GPS经度","GPS纬度","速度","GPS时间","营运状态"
"苏MS6067","泰州市九龙出租车有限公司","医药高新区","8122042835","2023-12-24 00:00:00.0","2023-03-14 00:00:00.0","913","120.022949","32.624817","31.8","2024-08-02 11:59:56.0000","载客"
"苏MX5088","泰州市苏中出租车有限公司","医药高新区","2893321208","2019-06-10 00:00:00.0","1900-01-01 00:00:00.0","666","120.138372","33.048228","0.0","2024-08-02 20:02:53.0000","载客"
"苏MS8752","泰州市金鹰出租车有限公司","兴化市","3075362821","2021-05-19 00:00:00.0","1900-01-01 00:00:00.0","207","120.06556","32.631479","23.0","2024-08-02 18:08:54.0000","空车"
"苏MH3662","泰州市宏运出租车有限公司","海陵区","8275679594","2020-01-09 00:00:00.0","1900-01-01 00:00:00.0","467","119.892935","32.496848","0.0","2024-08-02 14:40:57.0000","空车"
"苏MC5681","泰州市金鹰出租车有限公司","海陵区","7099469983","2023-12-25 00:00:00.0","1900-01-01 00:00:00.0","130","119.926745","32.466541","0.0","2024-08-02 20:19:37.0000","空车"
"苏MX9797","泰州市苏中出租车有限公司","姜堰区","8122042835","2023-11-27 00:00:00.0","1900-01-01 00:00:00.0","263","120.091585","32.540574","0.0","2024-08-02 10:14:14.0000","载客"
"苏MG5325","泰州市飞达出租车有限公司","海陵区","9438411468","2023-08-04 00:00:00.0","1900-01-01 00:00:00.0","744","119.915384","32.488335","8.7","2024-08-02 13:33:45.0000","空车"
"苏MY2139","泰州市苏中出租车有限公司","高港区","6385791669","2021-01-24 00:00:00.0","1900-01-01 00:00:00.0","84","119.93588","32.256391","12.7","2024-08-02 07:32:28.0000","空车"
"苏MY9486","泰州市公共交通有限公司","海陵区","5078551333","2022-06-13 00:00:00.0","1900-01-01 00:00:00.0","949","119.933828","32.478621","29.5","2024-08-02 11:44:04.0000","载客"
"苏MH3881","泰州市银盾出租车有限公司","海陵区","5071897791","2019-05-15 00:00:00.0","1900-01-01 00:00:00.0","567","119.917019","32.487608","10.6","2024-08-02 10:43:42.0000","空车"
"苏MT8350","泰州市银盾出租车有限公司","海陵区","1678500147","2022-10-25 00:00:00.0","2022-04-07 00:00:00.0","78","119.930752","32.515619","0.0","2024-08-02 13:52:14.0000","交接班"
"苏MN2291","泰州市客运集团有限公司","高港区","9263135031","2020-12-19 00:00:00.0","1900-01-01 00:00:00.0","622","119.955439","32.253976","8.5","2024-08-02 14:28:38.0000","停运"
"苏ME1400","泰州市祥云出租车有限公司","海陵区","4178659381","2023-08-02 00:00:00.0","2024-09-11 00:00:00.0","723","119.921417","32.48897","9.4","2024-08-02 08:56:09.0000","载客"
"苏MV7932","泰州市顺达出租车有限公司","兴化市","6299224734","2022-09-17 00:00:00.0","1900-01-01 00:00:00.0","258","120.053788","32.610515","48.3","2024-08-02 11:19:24.0000","载客"
"苏MM6139","泰州市公共交通有限公司","姜堰区","7608153267","2020-10-24 00:00:00.0","1900-01-01 00:00:00.0","232","120.076846","32.499048","20.1","2024-08-02 08:41:05.0000","维修"
"苏MN2964","泰州市九龙出租车有限公司","医药高新区","6928691380","2023-12-07 00:00:00.0","1900-01-01 00:00:00.0","255","120.199786","32.482121","0.0","2024-08-02 08:58:21.0000","空车"
"苏MH3417","泰州市金鹰出租车有限公司","海陵区","4776677517","2021-04-12 00:00:00.0","1900-01-01 00:00:00.0","56","119.91262","32.511797","44.4","2024-08-02 16:24:29.0000","载客"
"苏MT6198","泰州市飞达出租车有限公司","高港区","8674224347","2022-09-21 00:00:00.0","2023-05-25 00:00:00.0","851","119.912987","32.215241","0.0","2024-08-02 16:01:16.0000","交接班"
"苏MV5930","泰州市苏中出租车有限公司","姜堰区","1678500147","2023-11-02 00:00:00.0","1900-01-01 00:00:00.0","869","120.122031","32.496927","0.0","2024-08-02 21:41:47.0000","维修"
"苏ME2679","泰州市苏中出租车有限公司","姜堰区","9744120054","2019-10-21 00:00:00.0","1900-01-01 00:00:00.0","641","120.065103","32.486797","0.0","2024-08-02 20:42:03.0000","载客"
"苏MR7547","泰州市祥云出租车有限公司","海陵区","5064162365","2022-03-04 00:00:00.0","2024-03-08 00:00:00.0","206","119.917502","32.500553","0.0","2024-08-02 15:01:00.0000","载客"
"苏MX5088","泰州市银盾出租车有限公司","高港区","9410288290","2019-11-28 00:00:00.0","1900-01-01 00:00:00.0","42","119.949724","32.224321","0.0","2024-08-02 17:17:50.0000","交接班"
"苏MS6067","泰州市客运集团有限公司","海陵区","3799264931","2019-09-02 00:00:00.0","1900-01-01 00:00:00.0","932","119.910374","32.48499","19.1","2024-08-02 11:24:35.0000","维修"
"苏ME4111","泰州市飞达出租车有限公司","海陵区","9861449701","2022-02-10 00:00:00.0","1900-01-01 00:00:00.0","256","119.902014","32.515014","61.7","2024-08-02 09:59:04.0000","载客"
"苏MY3442","泰州市公共交通有限公司","姜堰区","4256292393","2023-10-20 00:00:00.0","1900-01-01 00:00:00.0","802","120.059769","32.514586","0.0","2024-08-02 15:34:21.0000","空车"
"苏MM6139","泰州市九龙出租车有限公司","高港区","3698305085","2021-04-23 00:00:00.0","1900-01-01 00:00:00.0","284","119.898574","32.237543","14.5","2024-08-02 06:17:50.0000","载客"
"苏MV4258","泰州市银盾出租车有限公司","海陵区","1158998032","2020-02-06 00:00:00.0","1900-01-01 00:00:00.0","580","119.901579","32.450364","0.0","2024-08-02 11:50:40.0000","空车"
"苏MT6198","泰州市飞达出租车有限公司","姜堰区","2465576748","2023-04-19 00:00:00.0","1900-01-01 00:00:00.0","711","120.051234","32.566372","0.0","2024-08-02 07:05:22.0000","载客"
"苏MN1960","泰州市苏中出租车有限公司","海陵区","3776011793","2022-10-20 00:00:00.0","1900-01-01 00:00:00.0","119","119.900983","32.469317","14.0","2024-08-02 08:17:19.0000","停运"
"苏MT1158","泰州市顺达出租车有限公司","高港区","8293928340","2020-08-11 00:00:00.0","1900-01-01 00:00:00.0","417","119.945104","32.282354","12.5","2024-08-02 09:25:21.0000","载客"
"苏MV5930","泰州市九龙出租车有限公司","海陵区","2540492440","2023-09-06 00:00:00.0","1900-01-01 00:00:00.0","573","119.907505","32.507155","0.0","2024-08-02 09:44:40.0000","载客"
"苏MH2104","泰州市金鹰出租车有限公司","姜堰区","1625217504","2021-04-09 00:00:00.0","1900-01-01 00:00:00.0","742","120.129566","32.561897","0.0","2024-08-02 20:29:45.0000","载客"
"苏ML7592","泰州市祥云出租车有限公司","高港区","1091729577","2021-12-26 00:00:00.0","1900-01-01 00:00:00.0","663","119.949171","32.292039","0.0","2024-08-02 17:04:28.0000","载客"
"苏MZ3546","泰州市飞达出租车有限公司","高港区","1795212538","2019-01-04 00:00:00.0","1900-01-01 00:00:00.0","532","119.944674","32.264503","56.6","2024-08-02 07:15:42.0000","载客"
"苏MQ8238","泰州市银盾出租车有限公司","高港区","3971203213","2020-06-10 00:00:00.0","1900-01-01 00:00:00.0","813","119.972055","32.229543","0.0","2024-08-02 12:25:29.0000","交接班"
"苏MG9179","泰州市顺达出租车有限公司","海陵区","1625217504","2019-11-26 00:00:00.0","1900-01-01 00:00:00.0","768","119.929755","32.453128","0.0","2024-08-02 13:22:30.0000","空车"
"苏MG9288","泰州市祥云出租车有限公司","海陵区","7243352390","2023-04-15 00:00:00.0","1900-01-01 00:00:00.0","408","119.892912","32.478353","15.8","2024-08-02 13:35:10.0000","空车"
"苏MN5554","泰州市公共交通有限公司","靖江市","7004964045","2022-09-21 00:00:00.0","1900-01-01 00:00:00.0","407","119.862992","32.530872","0.0","2024-08-02 15:13:17.0000","空车"
"苏MJ1727","泰州市金鹰出租车有限公司","高港区","6272000062","2021-12-05 00:00:00.0","1900-01-01 00:00:00.0","438","119.911319","32.267211","0.0","2024-08-02 14:22:22.0000","空车"
"苏MX7211","泰州市苏中出租车有限公司","海陵区","6299224734","2019-08-05 00:00:00.0","1900-01-01 00:00:00.0","403","119.893097","32.470218","42.4","2024-08-02 14:27:11.0000","维修"
"苏MF5349","泰州市苏中出租车有限公司","高港区","4600630513","2021-03-25 00:00:00.0","1900-01-01 00:00:00.0","770","119.902053","32.279588","0.0","2024-08-02 11:31:26.0000","空车"
"苏MR2489","泰州市宏运出租车有限公司","医药高新区","9343730920","2022-02-24 00:00:00.0","1900-01-01 00:00:00.0","779","120.078393","32.77943","16.0","2024-08-02 14:07:36.0000","空车"
"苏MH3724","泰州市公共交通有限公司","靖江市","8880079328","2021-12-20 00:00:00.0","1900-01-01 00:00:00.0","179","120.105944","32.48217","0.0","2024-08-02 09:02:28.0000","载客"
"苏MK2307","泰州市银盾出租车有限公司","海陵区","5082603360","2023-11-27 00:00:00.0","1900-01-01 00:00:00.0","995","119.902656","32.487714","12.2","2024-08-02 16:52:13.0000","空车"
"苏MV8668","泰州市九龙出租车有限公司","姜堰区","9633533290","2021-11-14 00:00:00.0","1900-01-01 00:00:00.0","87","120.126147","32.562848","17.2","2024-08-02 19:17:55.0000","载客"
"苏MC7939","泰州市顺达出租车有限公司","高港区","6385791669","2021-02-26 00:00:00.0","1900-01-01 00:00:00.0","233","119.964717","32.286891","0.0","2024-08-02 11:47:17.0000","停运"
"苏MQ6180","泰州市银盾出租车有限公司","高港区","9229469952","2019-01-04 00:00:00.0","1900-01-01 00:00:00.0","866","119.928534","32.256614","0.0","2024-08-02 17:31:17.0000","载客"
"苏MF9837","泰州市顺达出租车有限公司","医药高新区","7576309274","2021-02-21 00:00:00.0","1900-01-01 00:00:00.0","94","120.197847","32.69946","47.6","2024-08-02 05:59:54.0000","空车"
"苏MW6925","泰州市金鹰出租车有限公司","姜堰区","2891100776","2020-10-08 00:00:00.0","1900-01-01 00:00:00.0","465","120.115549","32.503414","5.0","2024-08-02 15:41:10.0000","载客"
"苏MX7916","泰州市苏中出租车有限公司","海陵区","4747699292","2021-03-13 00:00:00.0","1900-01-01 00:00:00.0","781","119.931153","32.476815","0.0","2024-08-02 05:21:52.0000","空车"
"苏MM4432","泰州市飞达出租车有限公司","姜堰区","7248258423","2022-10-22 00:00:00.0","1900-01-01 00:00:00.0","232","120.085119","32.496412","0.0","2024-08-02 15:43:09.0000","载客"
"苏MN7252","泰州市银盾出租车有限公司","海陵区","8493451569","2023-12-20 00:00:00.0","1900-01-01 00:00:00.0","973","119.899388","32.459788","0.0","2024-08-02 19:08:48.0000","载客"
"苏MX4853","泰州市宏运出租车有限公司","高港区","1230249217","2020-08-13 00:00:00.0","1900-01-01 00:00:00.0","521","119.909554","32.274784","0.0","2024-08-02 18:42:56.0000","维修"
"苏MH5351","泰州市祥云出租车有限公司","兴化市","9633533290","2019-01-19 00:00:00.0","1900-01-01 00:00:00.0","278","119.973178","32.694604","0.0","2024-08-02 13:00:23.0000","载客"
"苏MX5088","泰州市金鹰出租车有限公司","姜堰区","9467483275","2023-10-05 00:00:00.0","1900-01-01 00:00:00.0","327","120.092358","32.556711","0.0","2024-08-02 06:03:50.0000","载客"
"苏ME7126","泰州市银盾出租车有限公司","高港区","9333490239","2020-01-08 00:00:00.0","1900-01-01 00:00:00.0","454","119.944984","32.276322","12.8","2024-08-02 13:13:51.0000","载客"
"苏MV2343","泰州市公共交通有限公司","姜堰区","6065662867","2021-03-12 00:00:00.0","1900-01-01 00:00:00.0","809","120.066383","32.55015","60.5","2024-08-02 12:38:03.0000","载客"
"苏MY7924","泰州市祥云出租车有限公司","高港区","3365835550","2019-08-28 00:00:00.0","1900-01-01 00:00:00.0","386","119.977505","32.226295","17.4","2024-08-02 16:07:49.0000","载客"
"苏MC5681","泰州市九龙出租车有限公司","高港区","9081544414","2022-03-06 00:00:00.0","2022-09-26 00:00:00.0","945","119.966293","32.204404","0.0","2024-08-02 09:06:57.0000","载客"
"苏MN3144","泰州市公共交通有限公司","海陵区","7415801613","2019-07-03 00:00:00.0","2021-05-11 00:00:00.0","98","119.943136","32.485143","0.0","2024-08-02 08:15:26.0000","交接班"
"苏MQ5246","泰州市飞达出租车有限公司","高港区","3362646960","2020-03-01 00:00:00.0","2020-04-18 00:00:00.0","364","119.929336","32.259169","9.9","2024-08-02 05:12:18.0000","维修"
"苏MF8239","泰州市公共交通有限公司","高港区","6645808194","2021-02-02 00:00:00.0","2024-12-12 00:00:00.0","479","119.929203","32.223817","0.0","2024-08-02 20:00:48.0000","停运"
"苏MM1653","泰州市飞达出租车有限公司","海陵区","4518871744","2022-12-27 00:00:00.0","1900-01-01 00:00:00.0","335","119.88915","32.496371","0.0","2024-08-02 14:32:08.0000","维修"
"苏MJ6573","泰州市公共交通有限公司","海陵区","8674224347","2020-08-10 00:00:00.0","1900-01-01 00:00:00.0","882","119.901982","32.48147","0.0","2024-08-02 09:04:12.0000","空车"
"苏MN2964","泰州市九龙出租车有限公司","靖江市","6698759353","2021-05-27 00:00:00.0","2021-07-28 00:00:00.0","473","120.055579","32.503827","57.9","2024-08-02 07:51:43.0000","空车"
"苏MP3591","泰州市客运集团有限公司","兴化市","8949781901","2019-10-19 00:00:00.0","1900-01-01 00:00:00.0","842","119.765358","33.087797","37.4","2024-08-02 07:06:51.0000","载客"
"苏MF5349","泰州市公共交通有限公司","兴化市","8721631198","2023-07-27 00:00:00.0","1900-01-01 00:00:00.0","518","119.721348","32.632085","0.0","2024-08-02 06:04:12.0000","空车"
"苏MZ3546","泰州市苏中出租车有限公司","海陵区","7539399243","2022-09-16 00:00:00.0","1900-01-01 00:00:00.0","296","119.882425","32.51184","11.1","2024-08-02 11:27:11.0000","空车"
"苏MQ7790","泰州市宏运出租车有限公司","海陵区","2825957977","2021-10-17 00:00:00.0","1900-01-01 00:00:00.0","286","119.929936","32.476775","0.0","2024-08-02 07:12:41.0000","载客"
"苏MY7924","泰州市客运集团有限公司","医药高新区","4248149900","2020-05-18 00:00:00.0","1900-01-01 00:00:00.0","949","120.083421","32.770603","69.5","2024-08-02 06:38:14.0000","空车"
"苏MM3426","泰州市苏中出租车有限公司","海陵区","3367665472","2021-10-19 00:00:00.0","1900-01-01 00:00:00.0","981","119.931667","32.47226","0.0","2024-08-02 16:14:36.0000","载客"
"苏MN9977","泰州市金鹰出租车有限公司","高港区","7706193636","2019-06-20 00:00:00.0","1900-01-01 00:00:00.0","143","119.903262","32.209026","0.0","2024-08-02 17:51:56.0000","载客"
"苏MQ6180","泰州市客运集团有限公司","高港区","5078551333","2021-12-22 00:00:00.0","1900-01-01 00:00:00.0","113","119.957437","32.291722","47.2","2024-08-02 16:58:51.0000","停运"
"苏MW9346","泰州市银盾出租车有限公司","姜堰区","7961674558","2020-07-10 00:00:00.0","1900-01-01 00:00:00.0","311","120.13896","32.536198","13.9","2024-08-02 09:08:10.0000","载客"
"苏MC5681","泰州市飞达出租车有限公司","海陵区","7829772942","2022-03-11 00:00:00.0","1900-01-01 00:00:00.0","253","119.936616","32.472275","21.0","2024-08-02 08:00:44.0000","空车"
"苏MB6168","泰州市顺达出租车有限公司","海陵区","3365835550","2019-01-13 00:00:00.0","1900-01-01 00:00:00.0","439","119.884746","32.467468","0.0","2024-08-02 22:10:40.0000","空车"
"苏MT8007","泰州市宏运出租车有限公司","海陵区","9505085936","2019-01-10 00:00:00.0","1900-01-01 00:00:00.0","277","119.940484","32.483564","22.2","2024-08-02 18:31:56.0000","空车"
"苏MF8239","泰州市公共交通有限公司","泰兴市","6458544482","2022-11-06 00:00:00.0","1900-01-01 00:00:00.0","454","119.868975","33.084629","67.9","2024-08-02 07:10:56.0000","载客"
"苏MY6107","泰州市宏运出租车有限公司","泰兴市","8953271391","2022-10-18 00:00:00.0","1900-01-01 00:00:00.0","167","120.030299","32.778088","0.0","2024-08-02 06:21:13.0000","空车"
"苏MF1931","泰州市九龙出租车有限公司","海陵区","2178884276","2021-07-16 00:00:00.0","1900-01-01 00:00:00.0","686","119.900427","32.461958","0.0","2024-08-02 10:27:05.0000","交接班"
"苏MV7932","泰州市祥云出租车有限公司","海陵区","7608153267","2023-01-05 00:00:00.0","1900-01-01 00:00:00.0","693","119.910782","32.453123","0.0","2024-08-02 07:34:24.0000","交接班"
"苏MY9486","泰州市飞达出租车有限公司","高港区","9744120054","2022-10-08 00:00:00.0","1900-01-01 00:00:00.0","90","119.961841","32.28408","0.0","2024-08-02 07:22:51.0000","载客"
"苏MQ4501","泰州市宏运出租车有限公司","高港区","8969097897","2020-04-26 00:00:00.0","1900-01-01 00:00:00.0","53","119.894745","32.298275","39.0","2024-08-02 19:45:02.0000","停运"
"苏MA4770","泰州市飞达出租车有限公司","海陵区","5694628398","2023-06-28 00:00:00.0","1900-01-01 00:00:00.0","479","119.936514","32.500897","0.0","2024-08-02 07:43:27.0000","载客"
"苏MB5011","泰州市公共交通有限公司","海陵区","5283911723","2019-05-28 00:00:00.0","1900-01-01 00:00:00.0","362","119.920787","32.489662","52.0","2024-08-02 17:39:37.0000","空车"
"苏MJ8206","泰州市客运集团有限公司","海陵区","7763765757","2021-12-08 00:00:00.0","1900-01-01 00:00:00.0","496","119.922606","32.46007","6.0","2024-08-02 09:41:31.0000","维修"
"苏MN2964","泰州市金鹰出租车有限公司","高港区","5243939720","2022-06-09 00:00:00.0","1900-01-01 00:00:00.0","629","119.889822","32.269618","32.7","2024-08-02 19:01:21.0000","停运"
"苏MF7755","泰州市宏运出租车有限公司","海陵区","3734252963","2022-03-25 00:00:00.0","2024-01-06 00:00:00.0","207","119.935404","32.453934","0.0","2024-08-02 08:13:58.0000","载客"
