"车牌号","所属公司","所属区域","设备","营运开始时间","营运结束时间","设备编号","GPS经度","GPS纬度","速度","GPS时间","营运状态"
"鲁HK8320","济宁顺达","梁山县","8694510330","2013-03-20 00:00:00.0","2014-04-10 00:00:00.0","688","116.206936","35.052431","21.1","2022-06-01 11:47:49.0000","维修"
"鲁HF3569","济宁宏运","曲阜市","3441357311","2009-07-01 00:00:00.0","2017-01-12 00:00:00.0","756","116.997717","35.312495","0.0","2022-06-01 14:17:36.0000","空车"
"鲁HZ6079","济宁交运","嘉祥县","3689030188","2016-01-05 00:00:00.0","1900-01-01 00:00:00.0","915","116.995496","35.579297","0.0","2022-06-01 21:58:04.0000","载客"
"鲁HK8320","鲁南出租","泗水县","3608753150","2008-07-20 00:00:00.0","2013-05-17 00:00:00.0","743","116.458615","35.560692","0.0","2022-06-01 14:17:39.0000","空车"
"鲁HX7065","济宁通达","微山县","1186853444","2020-11-21 00:00:00.0","2020-06-09 00:00:00.0","205","116.983576","35.518959","78.6","2022-06-01 08:08:57.0000","空车"
"鲁HR6608","济宁联运","嘉祥县","1809325577","2010-11-16 00:00:00.0","2015-12-14 00:00:00.0","725","116.56129","35.450009","0.0","2022-06-01 20:46:42.0000","停运"
"鲁HC1317","济宁顺达","嘉祥县","3118358664","2009-02-04 00:00:00.0","1900-01-01 00:00:00.0","515","116.868192","35.084085","75.7","2022-06-01 18:31:54.0000","空车"
"鲁HL8546","鲁南出租","微山县","7081917258","2014-12-06 00:00:00.0","2017-01-07 00:00:00.0","545","116.110734","35.046358","62.7","2022-06-01 07:43:40.0000","空车"
"鲁HC5855","济宁出租","兖州区","8921303604","2012-06-06 00:00:00.0","2014-07-08 00:00:00.0","889","116.036151","35.147387","27.1","2022-06-01 07:41:44.0000","载客"
"鲁HC9748","济宁公交","任城区","6140585007","2014-09-14 00:00:00.0","2014-04-03 00:00:00.0","654","116.614395","35.330618","0.0","2022-06-01 19:39:55.0000","载客"
"鲁HX1559","济宁宏运","兖州区","4971889633","2014-08-10 00:00:00.0","2016-07-16 00:00:00.0","771","116.600904","35.529784","0.0","2022-06-01 02:24:49.0000","交接班"
"鲁HN2848","鲁南出租","鱼台县","6981080587","2012-12-03 00:00:00.0","2016-09-12 00:00:00.0","334","116.133342","35.196078","0.0","2022-06-01 06:58:27.0000","空车"
"鲁HX3512","济宁交运","曲阜市","4066287168","2009-05-25 00:00:00.0","2022-09-16 00:00:00.0","921","116.738466","35.249267","0.0","2022-06-01 19:59:04.0000","载客"
"鲁HM3504","济宁联运","微山县","4606219145","2013-12-02 00:00:00.0","2015-08-11 00:00:00.0","73","116.76942","35.142611","65.4","2022-06-01 14:21:42.0000","空车"
"鲁HD7153","济宁出租","微山县","6527636948","2004-10-03 00:00:00.0","2014-09-07 00:00:00.0","634","116.279895","35.110499","62.9","2022-06-01 13:19:05.0000","空车"
"鲁HA4363","济宁公交","邹城市","6140585007","2001-02-04 00:00:00.0","1900-01-01 00:00:00.0","485","116.140333","35.507803","8.2","2022-06-01 19:31:19.0000","维修"
"鲁HR6911","济宁通达","鱼台县","2660008630","2017-05-24 00:00:00.0","2021-06-14 00:00:00.0","649","116.054042","35.070603","57.4","2022-06-01 19:14:08.0000","空车"
"鲁HD9655","济宁交运","泗水县","4638584909","2004-03-06 00:00:00.0","2013-04-27 00:00:00.0","433","116.253151","35.401231","0.0","2022-06-01 09:04:01.0000","空车"
"鲁HM6426","济宁宏运","微山县","9218435294","2011-11-01 00:00:00.0","1900-01-01 00:00:00.0","841","116.366829","35.152664","56.5","2022-06-01 14:52:55.0000","空车"
"鲁HB3504","鲁南出租","泗水县","5951559024","2016-01-01 00:00:00.0","2020-03-06 00:00:00.0","697","116.160326","35.429432","22.5","2022-06-01 04:41:01.0000","载客"
"鲁HK8108","济宁出租","任城区","1221398982","2007-12-23 00:00:00.0","1900-01-01 00:00:00.0","587","116.475392","35.536547","0.0","2022-06-01 11:37:14.0000","交接班"
"鲁HW4943","济宁交运","梁山县","9033595700","2015-05-02 00:00:00.0","2020-11-13 00:00:00.0","759","116.910307","35.528495","0.0","2022-06-01 19:23:21.0000","停运"
"鲁HA3661","济宁通达","曲阜市","1246366805","2015-12-21 00:00:00.0","2017-07-21 00:00:00.0","784","116.71013","35.018562","78.5","2022-06-01 10:15:28.0000","载客"
"鲁HR8988","济宁通达","微山县","4335303557","2016-05-28 00:00:00.0","2019-04-25 00:00:00.0","587","116.613116","35.223646","74.6","2022-06-01 14:42:23.0000","载客"
"鲁HM4548","济宁公交","汶上县","3136720457","2018-02-09 00:00:00.0","2019-09-09 00:00:00.0","861","116.709143","35.476567","79.0","2022-06-01 15:01:47.0000","空车"
"鲁HQ4050","济宁出租","鱼台县","1446387419","2016-10-09 00:00:00.0","1900-01-01 00:00:00.0","147","116.870778","35.441332","18.3","2022-06-01 00:16:04.0000","载客"
"鲁HE2744","济宁交运","金乡县","7076207733","2006-11-11 00:00:00.0","2016-02-21 00:00:00.0","966","116.489766","35.372671","0.0","2022-06-01 23:30:05.0000","载客"
"鲁HJ4419","济宁出租","兖州区","6389544319","2009-04-11 00:00:00.0","1900-01-01 00:00:00.0","504","116.967737","35.223495","0.0","2022-06-01 15:27:26.0000","载客"
"鲁HC1317","济宁顺达","兖州区","4298066151","2002-02-07 00:00:00.0","2011-06-13 00:00:00.0","82","116.643912","35.29381","7.5","2022-06-01 21:09:58.0000","载客"
"鲁HU5404","鲁南出租","鱼台县","9252596399","2012-08-10 00:00:00.0","1900-01-01 00:00:00.0","738","116.773163","35.504967","0.0","2022-06-01 11:29:31.0000","载客"
"鲁HF9286","济宁交运","金乡县","9091459217","2003-06-13 00:00:00.0","1900-01-01 00:00:00.0","616","116.513965","35.318655","0.0","2022-06-01 15:29:33.0000","停运"
"鲁HT7620","鲁南出租","泗水县","6627835119","2006-12-15 00:00:00.0","2020-06-28 00:00:00.0","122","116.100221","35.319413","15.2","2022-06-01 04:01:43.0000","载客"
"鲁HV2510","济宁公交","泗水县","1707679790","2000-05-28 00:00:00.0","2006-06-03 00:00:00.0","310","116.034745","35.539808","0.0","2022-06-01 21:28:58.0000","空车"
"鲁HG7064","济宁顺达","金乡县","4704023098","2003-04-20 00:00:00.0","1900-01-01 00:00:00.0","86","116.99007","35.367582","0.0","2022-06-01 23:05:06.0000","空车"
"鲁HR1973","济宁出租","鱼台县","8034594633","2015-03-15 00:00:00.0","2021-06-11 00:00:00.0","69","116.400851","35.172549","0.0","2022-06-01 15:02:27.0000","空车"
"鲁HZ3423","济宁顺达","嘉祥县","3597137873","2007-03-16 00:00:00.0","2014-08-11 00:00:00.0","279","116.245951","35.549479","73.6","2022-06-01 19:42:56.0000","空车"
"鲁HN5462","济宁华运","汶上县","5680186581","2003-11-19 00:00:00.0","2019-10-08 00:00:00.0","60","116.783903","35.450891","0.0","2022-06-01 09:57:49.0000","维修"
"鲁HX6343","济宁华运","任城区","1707679790","2004-11-24 00:00:00.0","1900-01-01 00:00:00.0","972","116.539579","35.340753","0.0","2022-06-01 21:14:46.0000","载客"
"鲁HA8638","济宁顺达","邹城市","7418718780","2008-10-23 00:00:00.0","1900-01-01 00:00:00.0","270","116.374977","35.378559","0.0","2022-06-01 17:22:15.0000","载客"
"鲁HK3107","济宁通达","曲阜市","3278017797","2015-10-25 00:00:00.0","2015-11-21 00:00:00.0","232","116.563193","35.38729","0.0","2022-06-01 06:30:44.0000","停运"
"鲁HV5330","济宁联运","曲阜市","1707679790","2007-07-26 00:00:00.0","2011-04-09 00:00:00.0","660","116.670263","35.336583","67.7","2022-06-01 13:01:09.0000","载客"
"鲁HB3504","济宁华运","邹城市","4710589843","2012-12-06 00:00:00.0","2018-05-20 00:00:00.0","200","116.733057","35.364292","19.3","2022-06-01 19:20:33.0000","载客"
"鲁HN3194","济宁出租","微山县","8603320344","2004-02-27 00:00:00.0","2010-10-05 00:00:00.0","827","116.866773","35.497942","25.9","2022-06-01 05:45:34.0000","维修"
"鲁HA5498","济宁宏运","任城区","1312834194","2003-11-16 00:00:00.0","2010-11-13 00:00:00.0","747","116.769991","35.435327","65.9","2022-06-01 22:49:38.0000","空车"
"鲁HN6840","济宁新运","邹城市","1387781232","2000-12-15 00:00:00.0","1900-01-01 00:00:00.0","734","116.637471","35.482923","23.7","2022-06-01 06:17:28.0000","空车"
"鲁HZ2597","济宁通达","鱼台县","2549188963","2005-01-17 00:00:00.0","2009-04-08 00:00:00.0","143","116.559757","35.11535","24.2","2022-06-01 13:06:01.0000","载客"
"鲁HD7095","济宁联运","任城区","1520090879","2009-01-25 00:00:00.0","1900-01-01 00:00:00.0","182","116.970124","35.020906","21.8","2022-06-01 08:39:57.0000","空车"
"鲁HL3252","济宁公交","任城区","9218435294","2001-05-26 00:00:00.0","2017-12-28 00:00:00.0","996","116.370331","35.289214","0.0","2022-06-01 20:26:30.0000","空车"
"鲁HS2281","鲁南出租","汶上县","4090741475","2011-02-04 00:00:00.0","2018-02-07 00:00:00.0","926","116.503345","35.093698","12.4","2022-06-01 23:26:48.0000","载客"
"鲁HN6871","济宁新运","梁山县","5779093845","2016-01-03 00:00:00.0","2021-03-18 00:00:00.0","416","116.284957","35.501846","0.0","2022-06-01 10:51:10.0000","空车"
"鲁HQ9930","济宁华运","任城区","7695984876","2008-02-08 00:00:00.0","2010-12-19 00:00:00.0","746","116.123992","35.562916","0.0","2022-06-01 22:55:04.0000","载客"
"鲁HE8726","济宁出租","泗水县","4971889633","2018-10-24 00:00:00.0","1900-01-01 00:00:00.0","189","116.671453","35.1922","0.0","2022-06-01 07:45:33.0000","交接班"
"鲁HZ1112","济宁华运","梁山县","8130524728","2006-09-14 00:00:00.0","2007-01-01 00:00:00.0","87","116.502737","35.562542","0.0","2022-06-01 08:09:05.0000","载客"
"鲁HK4425","济宁出租","曲阜市","5892924048","2014-07-12 00:00:00.0","2019-12-20 00:00:00.0","903","116.545248","35.230989","0.0","2022-06-01 23:54:46.0000","载客"
"鲁HQ1866","鲁南出租","鱼台县","9218435294","2001-12-07 00:00:00.0","2021-05-10 00:00:00.0","342","116.307636","35.178387","0.0","2022-06-01 06:32:32.0000","停运"
"鲁HK9265","济宁公交","鱼台县","5380489633","2010-06-02 00:00:00.0","1900-01-01 00:00:00.0","491","116.367522","35.314564","36.9","2022-06-01 00:02:02.0000","空车"
"鲁HW9779","济宁华运","金乡县","2540478304","2018-03-25 00:00:00.0","2020-06-03 00:00:00.0","550","116.06304","35.297126","0.0","2022-06-01 14:53:18.0000","空车"
"鲁HZ3423","济宁顺达","曲阜市","6874572365","2001-05-14 00:00:00.0","2016-07-20 00:00:00.0","335","116.422952","35.090996","0.0","2022-06-01 09:07:38.0000","载客"
"鲁HA5498","鲁南出租","任城区","4090741475","2012-08-12 00:00:00.0","2017-05-13 00:00:00.0","777","116.959745","35.037276","0.0","2022-06-01 10:25:10.0000","空车"
"鲁HV5235","济宁出租","汶上县","5665651364","2009-09-13 00:00:00.0","2010-01-23 00:00:00.0","252","116.80012","35.268777","0.0","2022-06-01 00:15:58.0000","空车"
"鲁HZ6079","济宁顺达","邹城市","5317477087","2011-12-07 00:00:00.0","2011-09-22 00:00:00.0","390","116.51567","35.307625","0.0","2022-06-01 13:50:53.0000","停运"
"鲁HB1632","济宁通达","兖州区","2368291128","2009-08-10 00:00:00.0","2019-02-01 00:00:00.0","706","116.446979","35.075134","43.7","2022-06-01 09:26:08.0000","载客"
"鲁HR5459","济宁公交","邹城市","3361127552","2010-02-14 00:00:00.0","2017-11-23 00:00:00.0","216","116.215668","35.240255","0.0","2022-06-01 16:06:01.0000","空车"
"鲁HL1036","济宁交运","嘉祥县","3516539983","2001-02-05 00:00:00.0","2010-11-07 00:00:00.0","237","116.880756","35.417822","2.5","2022-06-01 20:10:09.0000","载客"
"鲁HQ8777","济宁出租","嘉祥县","8995713284","2001-08-18 00:00:00.0","2018-02-22 00:00:00.0","714","116.361726","35.332883","60.4","2022-06-01 14:34:58.0000","空车"
"鲁HY5493","济宁公交","兖州区","7695984876","2012-03-20 00:00:00.0","1900-01-01 00:00:00.0","31","116.433462","35.397867","0.0","2022-06-01 14:16:58.0000","空车"
"鲁HM1385","济宁交运","金乡县","5831986205","2013-11-07 00:00:00.0","2019-05-27 00:00:00.0","167","116.65382","35.265904","0.0","2022-06-01 13:17:17.0000","空车"
"鲁HS4216","济宁出租","鱼台县","9091459217","2013-12-08 00:00:00.0","2013-09-23 00:00:00.0","110","116.330502","35.481338","0.0","2022-06-01 10:15:20.0000","空车"
"鲁HK9428","济宁交运","金乡县","5188886682","2000-04-08 00:00:00.0","1900-01-01 00:00:00.0","673","116.742621","35.068492","0.7","2022-06-01 02:55:10.0000","空车"
"鲁HD9506","济宁宏运","鱼台县","7883345553","2019-10-15 00:00:00.0","1900-01-01 00:00:00.0","407","116.421241","35.420456","0.0","2022-06-01 10:29:45.0000","载客"
"鲁HR2752","济宁联运","邹城市","9019921170","2006-02-21 00:00:00.0","1900-01-01 00:00:00.0","115","116.98311","35.355437","0.0","2022-06-01 16:17:29.0000","空车"
"鲁HA3661","济宁华运","泗水县","8694510330","2015-03-08 00:00:00.0","1900-01-01 00:00:00.0","917","116.99602","35.248867","0.0","2022-06-01 10:15:31.0000","交接班"
"鲁HP3738","济宁新运","鱼台县","1602597471","2017-05-16 00:00:00.0","1900-01-01 00:00:00.0","554","116.667638","35.356827","5.8","2022-06-01 19:55:42.0000","载客"
"鲁HS2903","济宁出租","曲阜市","3136720457","2008-05-15 00:00:00.0","2008-04-18 00:00:00.0","78","116.480622","35.34697","0.0","2022-06-01 18:10:18.0000","维修"
"鲁HH6652","济宁顺达","梁山县","6425375892","2016-06-24 00:00:00.0","2022-01-11 00:00:00.0","991","116.544151","35.177424","0.0","2022-06-01 18:17:56.0000","载客"
"鲁HH9284","济宁公交","曲阜市","1221398982","2008-06-06 00:00:00.0","1900-01-01 00:00:00.0","987","116.281205","35.478694","4.2","2022-06-01 09:29:56.0000","空车"
"鲁HA4363","济宁新运","泗水县","4379676828","2003-03-06 00:00:00.0","2018-12-06 00:00:00.0","930","116.292083","35.497468","0.0","2022-06-01 11:20:05.0000","空车"
"鲁HP3207","济宁交运","汶上县","5296463679","2008-05-24 00:00:00.0","2020-09-07 00:00:00.0","494","116.04495","35.470259","0.0","2022-06-01 06:49:49.0000","交接班"
"鲁HT1669","济宁通达","曲阜市","3858616062","2005-09-10 00:00:00.0","2019-05-04 00:00:00.0","810","116.322117","35.570194","0.0","2022-06-01 05:57:29.0000","载客"
"鲁HA1437","济宁顺达","梁山县","3895186489","2016-12-26 00:00:00.0","1900-01-01 00:00:00.0","546","116.235983","35.559226","0.0","2022-06-01 10:11:19.0000","空车"
"鲁HZ6163","济宁新运","梁山县","1726633857","2005-06-24 00:00:00.0","1900-01-01 00:00:00.0","482","116.167474","35.12546","51.3","2022-06-01 07:58:04.0000","载客"
"鲁HB8267","济宁新运","金乡县","1900465004","2000-09-02 00:00:00.0","2017-12-04 00:00:00.0","327","116.749494","35.173556","0.0","2022-06-01 11:04:51.0000","停运"
"鲁HV2510","济宁联运","汶上县","4259242866","2020-10-09 00:00:00.0","2022-08-14 00:00:00.0","12","116.349049","35.372333","0.0","2022-06-01 01:37:34.0000","空车"
"鲁HP2265","济宁宏运","任城区","1707679790","2006-08-01 00:00:00.0","1900-01-01 00:00:00.0","332","116.49057","35.272359","0.0","2022-06-01 17:18:13.0000","载客"
"鲁HH9284","济宁新运","邹城市","8930670595","2006-03-17 00:00:00.0","2018-12-03 00:00:00.0","620","116.379998","35.460624","20.4","2022-06-01 13:51:44.0000","空车"
"鲁HF6640","济宁出租","邹城市","7914937905","2011-10-17 00:00:00.0","2011-12-23 00:00:00.0","632","116.742377","35.546529","0.0","2022-06-01 18:37:21.0000","空车"
"鲁HV4886","济宁交运","邹城市","5409706617","2006-06-28 00:00:00.0","2022-01-16 00:00:00.0","697","116.80345","35.069508","0.0","2022-06-01 04:31:27.0000","停运"
"鲁HK3107","济宁公交","嘉祥县","1726633857","2018-11-19 00:00:00.0","2018-01-21 00:00:00.0","794","116.240103","35.464202","0.0","2022-06-01 08:21:29.0000","载客"
"鲁HZ9007","济宁通达","任城区","3607296630","2015-05-02 00:00:00.0","2015-08-11 00:00:00.0","655","116.201116","35.34235","0.0","2022-06-01 12:11:35.0000","空车"
"鲁HB8267","济宁华运","嘉祥县","8603320344","2017-05-24 00:00:00.0","2018-11-23 00:00:00.0","574","116.675871","35.591841","0.0","2022-06-01 06:53:48.0000","空车"
"鲁HJ8979","济宁宏运","梁山县","8072110505","2016-04-18 00:00:00.0","1900-01-01 00:00:00.0","458","116.473788","35.121039","68.2","2022-06-01 08:18:06.0000","空车"
"鲁HV5330","济宁公交","金乡县","2660008630","2020-01-10 00:00:00.0","2021-02-20 00:00:00.0","783","116.536884","35.263507","0.0","2022-06-01 21:24:15.0000","空车"
"鲁HD1466","济宁交运","兖州区","3278017797","2005-06-28 00:00:00.0","2019-02-06 00:00:00.0","311","116.358571","35.197184","0.0","2022-06-01 13:31:07.0000","停运"
"鲁HY5984","济宁顺达","邹城市","6874419462","2001-10-15 00:00:00.0","2006-05-25 00:00:00.0","890","116.216956","35.069062","53.4","2022-06-01 18:15:39.0000","空车"
"鲁HN6293","济宁出租","金乡县","5369796670","2015-12-19 00:00:00.0","2019-01-10 00:00:00.0","757","116.168695","35.447014","11.3","2022-06-01 20:54:17.0000","空车"
"鲁HN6871","济宁公交","曲阜市","3899993483","2003-11-12 00:00:00.0","2020-08-17 00:00:00.0","830","116.261527","35.54088","0.0","2022-06-01 12:43:03.0000","停运"
"鲁HY4577","济宁出租","金乡县","6891250405","2012-04-16 00:00:00.0","2020-10-27 00:00:00.0","38","116.607353","35.448096","0.0","2022-06-01 10:02:58.0000","空车"
"鲁HQ7723","济宁宏运","微山县","1102337762","2020-10-26 00:00:00.0","2020-09-05 00:00:00.0","929","116.684076","35.430353","2.0","2022-06-01 17:59:46.0000","空车"
"鲁HH5203","济宁新运","微山县","1446387419","2017-06-01 00:00:00.0","2019-08-13 00:00:00.0","112","116.407873","35.575906","0.0","2022-06-01 14:34:18.0000","停运"
"鲁HP3738","济宁华运","鱼台县","8284963245","2004-02-25 00:00:00.0","1900-01-01 00:00:00.0","170","116.382275","35.251531","0.0","2022-06-01 05:43:02.0000","载客"
"鲁HQ7723","济宁华运","嘉祥县","1602597471","2017-04-08 00:00:00.0","2019-08-21 00:00:00.0","402","116.0975","35.553873","0.0","2022-06-01 13:28:45.0000","载客"
"鲁HD2232","济宁华运","兖州区","7293840805","2018-06-28 00:00:00.0","1900-01-01 00:00:00.0","949","116.405633","35.02295","11.4","2022-06-01 14:41:29.0000","空车"
"鲁HB3568","济宁联运","曲阜市","8930670595","2000-07-09 00:00:00.0","2004-05-08 00:00:00.0","119","116.022186","35.097538","2.0","2022-06-01 14:54:39.0000","空车"
"鲁HE5307","济宁出租","邹城市","4606219145","2013-10-09 00:00:00.0","2014-01-05 00:00:00.0","940","116.256797","35.312003","2.6","2022-06-01 19:27:45.0000","空车"
"鲁HQ7723","济宁新运","泗水县","5863209688","2005-12-12 00:00:00.0","2007-02-25 00:00:00.0","110","116.255671","35.082296","73.7","2022-06-01 20:43:15.0000","载客"
"鲁HC4952","济宁通达","任城区","1022829040","2013-03-07 00:00:00.0","1900-01-01 00:00:00.0","236","116.388037","35.379539","0.0","2022-06-01 18:58:10.0000","载客"
"鲁HC3545","济宁华运","金乡县","2531010869","2017-11-14 00:00:00.0","2018-07-13 00:00:00.0","883","116.668905","35.063149","0.0","2022-06-01 21:09:27.0000","空车"
"鲁HP3207","济宁出租","泗水县","4129831571","2000-07-12 00:00:00.0","2007-08-23 00:00:00.0","441","116.770173","35.126136","0.0","2022-06-01 11:25:51.0000","空车"
"鲁HY6673","济宁新运","兖州区","1520090879","2008-12-26 00:00:00.0","1900-01-01 00:00:00.0","855","116.267731","35.278541","0.0","2022-06-01 22:35:32.0000","空车"
"鲁HY1721","济宁公交","嘉祥县","3441357311","2010-06-25 00:00:00.0","1900-01-01 00:00:00.0","552","116.368019","35.016244","17.4","2022-06-01 07:01:19.0000","载客"
"鲁HN1546","济宁交运","泗水县","4335303557","2002-02-10 00:00:00.0","2015-01-10 00:00:00.0","660","116.570744","35.061852","0.0","2022-06-01 20:47:54.0000","维修"
"鲁HZ9291","济宁顺达","泗水县","3884439937","2016-08-13 00:00:00.0","2018-11-13 00:00:00.0","740","116.434763","35.111135","0.0","2022-06-01 11:41:37.0000","载客"
"鲁HG8594","济宁宏运","泗水县","5296463679","2007-09-22 00:00:00.0","2015-03-28 00:00:00.0","933","116.925784","35.277104","0.0","2022-06-01 21:33:20.0000","载客"
"鲁HY4534","济宁宏运","邹城市","9468900494","2019-08-07 00:00:00.0","1900-01-01 00:00:00.0","278","116.950101","35.232856","0.0","2022-06-01 20:06:20.0000","交接班"
"鲁HQ6104","济宁通达","曲阜市","9087218480","2018-02-07 00:00:00.0","1900-01-01 00:00:00.0","117","116.122241","35.345061","26.8","2022-06-01 16:21:20.0000","停运"
